Title,Location,Price,Area
"['Apartment', 'Kinkerstraat']","['1053', 'EG', 'Amsterdam', '(Kinkerbuurt)']","['€1,500', 'per', 'month']","['45', 'm²']"
"['Apartment', 'Nieuwezijds', 'Voorburgwal']","['1012', 'RT', 'Amsterdam', '(Burgwallen-Nieuwe', 'Zijde)']","['€5,000', 'per', 'month']","['180', 'm²']"
"['Apartment', 'Johan', 'Jongkindstraat']","['1062', 'DK', 'Amsterdam', '(Overtoomse', 'Veld)']","['€1,850', 'per', 'month']","['100', 'm²']"
"['Apartment', 'Van', 'Ostadestraat']","['1072', 'TG', 'Amsterdam', '(Nieuwe', 'Pijp)']","['€1,450', 'per', 'month']","['40', 'm²']"
"['Apartment', 'Oeverpad']","['1068', 'PM', 'Amsterdam', '(Osdorp-Oost)']","['€1,700', 'per', 'month']","['120', 'm²']"
"['Apartment', 'Koningin', 'Wilhelminaplein']","['1062', 'KS', 'Amsterdam', '(Westlandgracht)']","['€3,850', 'per', 'month']","['178', 'm²']"
"['Apartment', 'Gerard', 'Doustraat', '1', 'D', 'H']","['1072', 'VG', 'Amsterdam', '(Oude', 'Pijp)']","['€1,900', 'per', 'month']","['75', 'm²']"
"['Apartment', 'Borggraaf']","['1083', 'AL', 'Amsterdam', '(Buitenveldert-Oost)']","['€1,350', 'per', 'month']","['51', 'm²']"
"['Apartment', 'Singel']","['1012', 'VG', 'Amsterdam', '(Burgwallen-Nieuwe', 'Zijde)']","['€1,650', 'per', 'month']","['60', 'm²']"
"['Apartment', 'Willem', 'de', 'Zwijgerlaan', '83', '3']","['1056', 'JH', 'Amsterdam', '(Geuzenbuurt)']","['€1,450', 'per', 'month']","['50', 'm²']"
"['Apartment', 'Van', 'Oldenbarneveldtstraat', '17', 'H']","['1052', 'JP', 'Amsterdam', '(Frederik', 'Hendrikbuurt)']","['€2,500', 'per', 'month']","['82', 'm²']"
"['Apartment', 'Kribbestraat']","['1079', 'WN', 'Amsterdam', '(Rijnbuurt)']","['€1,700', 'per', 'month']","['55', 'm²']"
"['Apartment', 'Jacques', 'Veltmanstraat', '99', 'pp']","['1065', 'EG', 'Amsterdam', '(Slotervaart', 'Zuid)']","['€1,750', 'per', 'month']","['100', 'm²']"
"['Apartment', 'Vespuccistraat', '31', 'III']","['1057', 'CK', 'Amsterdam', '(Hoofdweg', 'e.o.)']","['€1,750', 'per', 'month']","['64', 'm²']"
"['Apartment', 'Leksmondhof', '145']","['1108', 'ET', 'Amsterdam', '(Nellestein)']","['€1,500', 'per', 'month']","['70', 'm²']"
"['Apartment', 'Grubbehoeve', '121']","['1103', 'GM', 'Amsterdam', '(Bijlmer', 'Oost', '(E,G,K))']","['€1,400', 'per', 'month']","['70', 'm²']"
"['House', 'Fahrenheitsingel']","['1097', 'NV', 'Amsterdam', '(Frankendael)']","['€1,250', 'per', 'month']","['65', 'm²']"
"['House', 'Sarphatikade']","['1017', 'WV', 'Amsterdam', '(De', 'Weteringschans)']","['€2,350', 'per', 'month']","['75', 'm²']"
"['Apartment', 'Prinsengracht']","['1017', 'KV', 'Amsterdam', '(De', 'Weteringschans)']","['€3,250', 'per', 'month']","['105', 'm²']"
"['Apartment', 'Langebrugsteeg', '9', 'A']","['1012', 'GB', 'Amsterdam', '(Burgwallen-Oude', 'Zijde)']","['€2,100', 'per', 'month']","['115', 'm²']"
"['Apartment', 'John', 'Blankensteinstraat']","['1095', 'MB', 'Amsterdam', '(Zeeburgereiland/Nieuwe', 'Diep)']","['€1,450', 'per', 'month']","['55', 'm²']"
"['Apartment', 'De', 'Wittenkade']","['1052', 'DC', 'Amsterdam', '(Staatsliedenbuurt)']","['€1,950', 'per', 'month']","['80', 'm²']"
"['Apartment', 'Huidekoperstraat', '25', 'A']","['1017', 'ZL', 'Amsterdam', '(De', 'Weteringschans)']","['€1,900', 'per', 'month']","['72', 'm²']"
"['Apartment', 'Berthold', 'Brechtstraat']","['1102', 'RS', 'Amsterdam', '(Bijlmer', 'Centrum', '(D,F,H))']","['€1,495', 'per', 'month']","['55', 'm²']"
"['Apartment', 'Argonautenstraat', '40', 'III']","['1076', 'KR', 'Amsterdam', '(Stadionbuurt)']","['€2,400', 'per', 'month']","['69', 'm²']"
"['Apartment', 'H.', 'Diesveldsingel']","['1060', 'RL', 'Amsterdam', '(Middelveldsche', 'Akerpolder)']","['€1,600', 'per', 'month']","['80', 'm²']"
"['Apartment', 'Demerarastraat', '29']","['1102', 'MZ', 'Amsterdam', '(Bijlmer', 'Centrum', '(D,F,H))']","['€1,625', 'per', 'month']","['75', 'm²']"
"['Apartment', 'Eef', 'Kamerbeekstraat']","['1095', 'MP', 'Amsterdam', '(Zeeburgereiland/Nieuwe', 'Diep)']","['€1,550', 'per', 'month']","['50', 'm²']"
"['Apartment', 'Westerdoksdijk']","['1013', 'AD', 'Amsterdam', '(Haarlemmerbuurt)']","['€3,690', 'per', 'month']","['145', 'm²']"
"['Apartment', 'Ruysdaelstraat', '21', 'I']","['1071', 'WZ', 'Amsterdam', '(Museumkwartier)']","['€1,900', 'per', 'month']","['65', 'm²']"
"['Studio', 'Joan', 'Melchior', 'Kemperstraat']","['1051', 'TT', 'Amsterdam', '(Staatsliedenbuurt)']","['€1,400', 'per', 'month']","['42', 'm²']"
"['Apartment', 'Badhuiskade']","['1031', 'KV', 'Amsterdam', '(Noordelijke', 'IJ-oevers', 'West)']","['€3,750', 'per', 'month']","['140', 'm²']"
